,Item #,Part #,List Price,Frame Rating,Amp Rating,Breaking Capacity,Performance %,Trip Unit,240V kAIC,480V kAIC,Labor Units
,02070272UL,UTS150NT ATU 100A 3P LO UL,"$2,108.48 ",150,100A,NT,100,ATU,65,35,1
,02070273UL,UTS150NT ATU 150A 3P LO UL,"$2,108.48 ",150,150A,NT,100,ATU,65,35,1
,02070336UL,UTS150HT ATU 100A 3P LO UL,"$2,525.33 ",150,100A,HT,100,ATU,100,65,1
,02070337UL,UTS150HT ATU 150A 3P LO UL,"$2,525.33 ",150,150A,HT,100,ATU,100,65,1
,02070400UL,UTS150LT ATU 100A 3P LO UL,"$2,988.13 ",150,100A,LT,100,ATU,100,100,1
,02070401UL,UTS150LT ATU 150A 3P LO UL,"$2,988.13 ",150,150A,LT,100,ATU,100,100,1
,02070423UL,UTS150N ATU 125A 3P LO UL,"$1,916.85 ",150,125A,N,80,ATU,65,35,1
,02070431UL,UTS150H ATU 125A 3P LO UL,"$2,295.70 ",150,125A,H,80,ATU,100,65,1
,02070439UL,UTS150L ATU 125A 3P LO UL,"$2,716.36 ",150,125A,L,80,ATU,100,100,1
,02070447UL,UTS150NT ATU 125A 3P LO UL,"$2,108.48 ",150,125A,NT,100,ATU,65,35,1
,02070455UL,UTS150HT ATU 125A 3P LO UL,"$2,525.33 ",150,125A,HT,100,ATU,100,65,1
,02070463UL,UTS150LT ATU 125A 3P LO UL,"$2,988.13 ",150,125A,LT,100,ATU,100,100,1
UTS250,02090023UL,UTS250N FTU 150A 3P LO UL,"$2,326.40 ",250,150A,N,80,FTU,65,35,2
,02090024UL,UTS250N FTU 175A 3P LO UL,"$2,326.40 ",250,175A,N,80,FTU,65,35,2
,02090025UL,UTS250N FTU 200A 3P LO UL,"$2,326.40 ",250,200A,N,80,FTU,65,35,2
,02090026UL,UTS250N FTU 225A 3P LO UL,"$2,326.40 ",250,225A,N,80,FTU,65,35,2
,02090027UL,UTS250N FTU 250A 3P LO UL,"$2,326.40 ",250,250A,N,80,FTU,65,35,2
,02090031UL,UTS250N ATU 160A 3P LO UL,"$2,780.59 ",250,160A,N,80,ATU,65,35,2
,02090032UL,UTS250N ATU 200A 3P LO UL,"$2,780.59 ",250,200A,N,80,ATU,65,35,2
,02090033UL,UTS250N ATU 250A 3P LO UL,"$2,780.59 ",250,250A,N,80,ATU,65,35,2
